delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,54,52,40,19,1
10,51,48,37,18,0
15,48,44,34,17,0
20,45,40,31,16,0
25,42,36,28,15,0
30,39,32,25,14,0
35,36,28,22,13,0
40,33,24,19,12,0
45,30,20,16,11,0
50,26,16,13,9,0
55,22,12,10,7,0
60,18,8,7,5,0
