delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,20,10,9,8,8
10,21,11,10,9,9
15,23,12,11,10,10
20,25,13,12,11,11
25,27,14,13,12,12
30,29,15,14,13,13
35,29,15,15,14,14
40,28,15,15,15,15
45,27,15,15,14,14
50,26,15,15,13,13
55,25,14,14,12,12
60,23,13,13,11,11
