delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,57,30,26,18,3
10,50,26,22,15,1
15,43,22,18,12,0
20,37,19,16,11,0
25,32,17,14,9,0
30,28,15,12,8,0
35,25,13,10,6,0
40,22,11,8,4,0
45,19,9,6,2,0
50,17,7,4,1,0
55,16,5,2,0,0
60,15,3,0,0,0
