delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,60,52,52,48,38
10,51,43,43,39,29
15,43,35,35,31,21
20,35,27,27,23,13
25,27,19,19,15,8
30,19,11,11,7,3
35,11,3,3,2,2
40,5,2,2,1,1
45,2,1,1,0,0
50,1,0,0,0,0
55,0,0,0,0,0
60,0,0,0,0,0
