delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,102,102,87,41,17
10,99,99,85,44,16
15,96,96,80,47,15
20,93,93,75,49,14
25,90,88,70,48,13
30,85,83,65,47,12
35,80,78,60,46,8
40,75,73,55,42,5
45,70,68,50,38,3
50,65,59,42,33,1
55,56,50,35,29,0
60,47,41,31,25,0
