delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,49,45,45,37,36
10,43,40,40,32,31
15,37,35,35,27,26
20,32,30,30,22,21
25,27,25,25,17,16
30,22,20,20,13,12
35,18,16,16,9,8
40,14,12,12,6,5
45,10,8,8,4,3
50,6,4,4,2,2
55,3,2,2,1,1
60,1,1,1,0,0
