delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,67,57,57,53,43
10,57,48,48,44,34
15,48,40,40,36,26
20,40,32,32,28,18
25,32,24,24,20,10
30,24,16,16,12,6
35,18,12,12,8,2
40,12,8,8,4,1
45,8,4,4,0,0
50,4,0,0,0,0
55,0,0,0,0,0
60,0,0,0,0,0
