delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,92,89,83,58,17
10,89,86,78,58,16
15,86,83,73,58,15
20,83,80,68,57,14
25,80,75,63,53,13
30,76,70,58,49,12
35,72,66,54,46,8
40,68,62,50,43,5
45,67,58,46,40,3
50,66,54,43,37,1
55,65,52,40,34,0
60,62,49,36,30,0
