delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,63,39,29,24,11
10,60,36,27,22,10
15,57,32,25,20,9
20,54,28,24,19,9
25,52,25,23,18,9
30,50,23,22,18,9
35,47,20,19,17,9
40,42,17,17,16,9
45,37,15,15,14,9
50,33,13,13,12,8
55,30,11,11,10,7
60,26,9,9,9,7
