delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,55,52,40,19,1
10,53,49,38,18,0
15,50,45,36,17,0
20,47,41,33,16,0
25,44,37,30,15,0
30,41,33,27,14,0
35,38,29,24,13,0
40,35,25,21,12,0
45,31,21,18,11,0
50,27,17,15,10,0
55,23,13,12,9,0
60,19,9,9,8,0
