delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,56,54,42,20,1
10,52,49,38,19,0
15,49,45,35,18,0
20,46,41,32,17,0
25,43,37,29,16,0
30,40,33,26,15,0
35,37,29,23,14,0
40,34,25,20,13,0
45,31,21,17,12,0
50,27,17,14,10,0
55,23,13,11,8,0
60,19,9,8,6,0
