delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,74,70,69,58,53
10,71,67,66,52,48
15,68,62,61,46,42
20,62,56,55,40,37
25,56,50,49,34,32
30,49,44,43,29,28
35,43,39,38,25,24
40,37,34,33,21,20
45,32,29,28,18,17
50,27,24,23,15,14
55,22,19,18,12,11
60,18,15,14,9,8
