delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,108,98,84,41,17
10,104,95,79,44,16
15,100,92,74,47,15
20,96,87,69,46,14
25,90,82,64,45,13
30,84,77,59,44,9
35,78,72,54,43,5
40,72,67,49,39,3
45,66,62,44,35,1
50,60,53,37,31,1
55,50,44,33,27,0
60,41,35,29,23,0
