delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,67,50,50,46,36
10,57,41,41,37,27
15,48,33,33,29,19
20,39,25,25,21,11
25,30,17,17,13,6
30,21,9,9,5,3
35,14,3,3,2,2
40,7,2,2,1,1
45,3,1,1,0,0
50,1,0,0,0,0
55,0,0,0,0,0
60,0,0,0,0,0
