delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,155,132,119,97,78
10,146,117,102,75,53
15,137,99,83,59,38
20,128,94,82,58,39
25,125,99,90,73,51
30,124,101,94,82,60
35,119,90,81,69,50
40,106,72,62,48,30
45,94,58,50,34,15
50,84,56,50,36,18
55,78,57,52,41,26
60,71,56,51,42,28
