delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,10,6,1,1,1
10,10,7,4,1,1
15,10,10,9,5,5
20,10,9,7,7,7
25,10,9,8,8,7
30,10,7,5,5,5
35,10,6,1,1,1
40,10,6,2,2,0
45,10,7,6,5,3
50,9,8,8,7,7
55,8,8,8,7,7
60,7,7,5,5,5
