delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,164,148,123,98,80
10,153,131,103,78,55
15,143,118,89,62,42
20,137,111,87,61,43
25,135,115,94,74,57
30,133,117,100,82,67
35,127,108,85,71,56
40,121,95,69,52,37
45,112,84,59,42,29
50,103,77,59,44,34
55,95,74,60,46,37
60,86,68,59,44,35
