delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,87,73,63,60,53
10,76,50,35,31,25
15,65,36,24,22,15
20,65,43,34,31,22
25,78,65,58,56,45
30,86,77,71,71,63
35,81,65,58,55,48
40,68,44,34,31,25
45,56,32,21,20,15
50,60,42,33,31,22
55,71,59,52,50,37
60,71,66,62,60,48
