delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,100,83,70,67,62
10,86,67,52,45,37
15,80,65,52,42,31
20,86,71,59,49,40
25,93,78,70,66,59
30,92,79,70,70,63
35,79,60,49,47,43
40,59,40,30,29,25
45,55,40,33,30,23
50,63,49,45,40,31
55,62,49,48,46,38
60,56,45,42,42,37
