delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,142,137,126,109,66
10,141,133,116,102,66
15,139,130,111,92,60
20,138,130,109,91,56
25,136,127,110,87,45
30,136,123,107,84,46
35,137,117,98,78,36
40,134,113,91,72,31
45,129,109,89,73,33
50,121,107,89,72,29
55,115,97,90,69,26
60,115,96,86,65,23
