delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,260,256,249,224,193
10,255,249,238,217,190
15,254,242,230,210,178
20,257,237,224,202,172
25,258,241,219,192,160
30,253,230,207,183,151
35,241,218,194,170,144
40,239,207,184,159,131
45,238,203,179,149,124
50,234,200,169,142,115
55,225,192,165,136,109
60,217,186,156,125,102
