delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,350,164,79,37,16
10,347,159,77,38,19
15,344,157,75,41,21
20,336,150,71,38,20
25,331,140,69,37,23
30,321,137,66,36,21
35,313,129,59,34,21
40,303,119,54,31,20
45,300,116,51,29,20
50,289,107,48,30,21
55,275,99,46,29,18
60,270,94,39,26,16
