delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,221,214,206,199,177
10,221,216,203,191,168
15,222,209,197,183,160
20,215,202,187,175,152
25,215,198,179,167,144
30,213,190,173,159,136
35,203,185,165,151,128
40,205,182,157,143,120
45,204,180,149,135,114
50,198,170,141,127,110
55,196,162,133,120,100
60,193,158,125,111,96
