delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,264,244,225,211,188
10,260,239,215,204,183
15,259,233,208,198,175
20,250,224,204,190,167
25,243,214,196,182,159
30,240,212,188,174,151
35,232,209,180,166,143
40,230,199,172,158,138
45,229,193,164,150,127
50,223,189,156,142,124
55,219,179,151,137,116
60,211,172,140,129,109
