delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,94,93,90,76,48
10,94,93,86,77,46
15,94,92,85,74,43
20,94,91,82,65,38
25,93,87,75,59,33
30,91,82,70,56,26
35,91,79,64,53,27
40,89,80,62,54,28
45,85,80,64,53,25
50,83,77,65,50,20
55,82,70,62,48,17
60,83,62,54,43,13
