delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,306,286,267,244,214
10,299,277,262,237,207
15,295,271,258,229,197
20,288,264,244,215,182
25,287,258,230,204,173
30,282,256,227,197,165
35,279,246,219,186,154
40,271,233,206,174,144
45,264,225,192,164,137
50,253,215,184,153,127
55,243,205,176,145,118
60,239,199,166,136,112
