delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,124,91,49,25,12
10,120,85,43,24,10
15,119,79,37,22,10
20,118,73,34,21,11
25,116,66,29,18,10
30,116,61,22,14,9
35,111,56,18,12,9
40,111,54,17,11,9
45,107,53,14,9,8
50,103,46,12,8,5
55,99,36,9,7,6
60,97,29,8,5,3
