delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,3,0,0,0,0
10,1,1,0,0,0
15,4,3,1,0,0
20,6,2,1,0,0
25,4,1,0,0,0
30,2,1,0,0,0
35,2,0,0,0,0
40,3,0,0,0,0
45,4,0,0,0,0
50,2,0,0,0,0
55,1,0,0,0,0
60,2,1,0,0,0
