delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,150,135,112,92,75
10,142,121,92,69,49
15,132,105,78,52,37
20,126,102,78,56,40
25,123,106,86,67,53
30,122,107,94,77,64
35,113,93,77,65,52
40,102,79,58,45,32
45,95,68,46,32,22
50,87,65,48,33,23
55,82,62,53,39,31
60,72,57,50,39,33
