delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,161,148,134,119,102
10,149,129,111,100,85
15,131,111,91,83,70
20,126,105,88,79,71
25,126,106,96,89,79
30,130,112,103,96,86
35,123,104,91,84,74
40,109,87,72,66,59
45,95,75,63,60,51
50,89,70,61,56,47
55,86,68,65,60,52
60,80,64,60,55,47
