delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,85,69,59,56,51
10,71,44,32,28,24
15,58,31,18,16,12
20,62,40,31,28,20
25,75,62,57,55,43
30,81,77,73,71,62
35,73,63,56,53,45
40,62,41,30,27,21
45,51,25,15,13,10
50,54,37,27,26,17
55,65,55,48,46,34
60,67,62,59,57,45
