delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,162,138,125,103,78
10,153,123,105,79,54
15,140,105,86,60,40
20,133,100,87,65,46
25,131,104,93,75,56
30,128,104,96,82,59
35,121,91,81,67,46
40,110,75,63,48,28
45,98,61,55,39,20
50,87,60,56,41,24
55,80,59,56,45,28
60,71,55,51,42,27
