delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,127,113,100,94,88
10,123,105,87,81,74
15,116,99,82,75,64
20,108,93,79,72,62
25,107,96,86,81,71
30,104,95,88,83,73
35,98,85,76,71,59
40,91,74,64,61,51
45,83,69,61,57,47
50,77,67,63,57,48
55,71,65,63,57,49
60,63,59,55,52,42
