delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,135,130,129,126,116
10,130,128,126,124,110
15,129,124,123,119,110
20,129,124,121,118,105
25,134,130,120,116,100
30,139,131,119,113,97
35,137,124,114,109,95
40,136,120,108,102,84
45,133,120,105,95,84
50,126,115,101,91,77
55,128,108,93,85,73
60,124,106,87,78,69
