delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,58,51,28,13,7
10,58,51,30,12,7
15,58,48,27,11,7
20,57,41,24,9,6
25,56,39,22,11,5
30,56,39,20,11,5
35,56,37,16,8,4
40,56,30,10,5,3
45,54,25,6,2,1
50,52,25,4,2,1
55,51,23,4,2,1
60,49,21,3,2,1
