delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,84,84,81,72,47
10,84,83,75,64,42
15,84,83,74,59,35
20,84,83,76,57,35
25,83,80,70,58,31
30,82,75,65,54,25
35,83,72,64,48,19
40,81,71,60,49,19
45,77,69,59,47,20
50,77,67,57,42,21
55,79,65,55,40,13
60,78,64,50,37,10
