delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,6,1,1,0,0
10,5,1,0,0,0
15,4,1,0,0,0
20,3,0,0,0,0
25,3,1,0,0,0
30,3,2,0,0,0
35,2,2,1,0,0
40,3,2,1,0,0
45,5,2,0,0,0
50,5,2,0,0,0
55,4,2,0,0,0
60,3,1,0,0,0
