delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,323,296,276,247,216
10,322,293,266,236,203
15,311,280,255,226,195
20,303,275,248,217,184
25,300,266,236,206,174
30,291,253,223,195,163
35,280,242,216,184,152
40,277,239,207,174,144
45,271,226,194,164,136
50,257,217,186,153,128
55,248,208,176,144,118
60,240,195,164,134,111
