delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,151,127,115,94,75
10,141,109,95,71,50
15,131,96,79,54,35
20,124,91,77,57,39
25,123,97,86,70,51
30,120,99,92,80,58
35,112,88,79,68,48
40,100,70,59,45,27
45,90,56,48,33,14
50,81,53,48,35,17
55,75,54,49,39,23
60,64,52,46,39,25
