delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,105,78,67,63,54
10,98,66,54,49,38
15,91,59,49,45,36
20,91,68,57,52,43
25,101,81,72,68,55
30,106,87,81,76,65
35,97,75,66,63,52
40,89,62,51,48,36
45,85,58,47,43,31
50,82,59,49,48,37
55,83,64,58,56,45
60,84,67,61,60,49
