delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,135,122,106,94,84
10,121,103,86,77,64
15,110,92,74,69,58
20,112,93,81,71,62
25,116,99,91,84,74
30,115,100,89,84,74
35,103,85,72,67,57
40,89,68,55,51,44
45,79,61,51,46,37
50,80,63,56,51,42
55,75,59,58,55,47
60,67,54,52,49,41
