delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,177,159,129,105,88
10,166,143,110,88,66
15,155,127,93,69,49
20,149,122,92,65,46
25,149,125,98,75,58
30,148,126,104,81,68
35,142,115,92,76,61
40,131,101,75,61,46
45,122,88,60,46,32
50,116,83,59,44,31
55,109,79,62,47,35
60,101,73,59,44,35
