delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,148,135,119,112,100
10,142,125,106,100,88
15,135,118,101,94,82
20,129,113,97,91,80
25,123,111,99,95,84
30,116,108,99,94,82
35,113,101,90,85,73
40,104,88,77,72,64
45,96,81,74,68,60
50,91,80,75,69,59
55,80,73,68,63,54
60,72,66,61,56,46
