delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,142,87,44,25,11
10,134,85,41,25,12
15,131,82,36,24,12
20,130,73,30,22,12
25,128,70,27,21,13
30,124,70,29,20,13
35,125,64,29,19,12
40,122,61,26,19,13
45,119,57,22,16,10
50,112,50,20,16,11
55,112,46,19,16,10
60,113,43,18,15,10
