delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,236,228,212,205,186
10,237,227,205,200,178
15,234,214,202,191,171
20,226,207,195,186,163
25,221,207,191,179,156
30,217,201,183,171,148
35,218,193,174,163,140
40,214,191,167,155,132
45,210,187,161,147,125
50,211,179,153,139,118
55,205,175,145,131,111
60,200,168,138,124,104
