delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,290,278,267,244,213
10,289,270,260,236,204
15,292,270,253,224,194
20,290,267,243,216,186
25,281,258,235,206,174
30,276,250,224,195,163
35,272,241,216,184,154
40,268,234,204,175,146
45,254,221,193,164,139
50,244,214,185,154,127
55,241,203,174,145,119
60,236,197,166,136,113
