delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,192,188,175,148,85
10,190,180,169,140,79
15,187,177,159,134,75
20,187,178,153,124,67
25,188,176,150,114,65
30,183,167,141,111,57
35,175,156,131,106,50
40,176,151,121,97,42
45,176,146,115,89,34
50,168,142,113,84,29
55,167,134,108,82,28
60,167,128,102,77,26
