delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,148,129,115,93,75
10,140,110,95,71,50
15,132,95,79,55,33
20,127,96,84,62,42
25,125,102,92,77,56
30,123,103,93,81,60
35,116,90,81,68,49
40,101,70,60,45,28
45,89,56,47,29,13
50,83,55,50,35,18
55,78,59,55,42,27
60,71,57,51,43,28
