delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,160,143,116,97,75
10,150,130,102,77,53
15,139,113,86,57,39
20,133,109,82,58,41
25,130,111,89,68,54
30,130,111,94,77,63
35,123,100,80,67,52
40,113,87,64,50,36
45,102,75,52,37,27
50,96,71,53,38,28
55,89,68,58,45,36
60,82,64,54,41,35
