delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,86,72,61,58,53
10,77,47,34,30,25
15,69,38,26,23,17
20,68,48,39,36,28
25,78,69,61,59,48
30,87,76,73,73,61
35,79,65,59,55,48
40,67,44,35,31,25
45,59,34,23,22,15
50,63,45,35,33,24
55,76,63,55,52,41
60,78,69,63,60,51
