delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,144,132,115,107,94
10,135,119,100,93,80
15,128,111,94,88,76
20,129,113,99,93,81
25,122,108,97,93,87
30,116,107,97,92,83
35,111,100,89,84,72
40,101,86,75,70,60
45,93,78,71,65,55
50,93,82,77,71,62
55,84,77,72,68,63
60,77,72,67,62,55
