delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,159,147,135,120,105
10,143,125,107,96,83
15,131,110,90,76,62
20,122,102,85,77,68
25,122,104,98,91,81
30,130,113,108,101,89
35,120,102,93,86,78
40,106,85,70,66,61
45,95,75,61,58,48
50,89,71,60,57,50
55,86,71,66,61,50
60,84,69,62,57,47
