delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,99,99,84,38,17
10,96,96,82,41,16
15,93,93,77,44,15
20,90,90,72,46,14
25,87,85,67,45,13
30,82,80,62,44,12
35,77,75,57,43,8
40,72,70,52,42,5
45,67,65,47,38,3
50,62,59,42,33,1
55,56,50,35,29,0
60,47,41,31,25,0
