delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,87,59,46,32,15
10,82,55,42,29,13
15,77,50,38,27,11
20,72,44,35,24,10
25,68,39,32,22,8
30,63,35,30,21,7
35,59,31,28,20,7
40,55,27,26,18,6
45,51,24,24,16,5
50,46,22,22,13,5
55,41,20,19,10,4
60,36,18,16,8,3
