delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,25,25,25,23,0
10,23,23,23,21,0
15,21,21,21,19,0
20,19,19,19,17,0
25,17,17,17,15,0
30,15,15,15,13,0
35,13,13,13,11,0
40,11,11,11,9,0
45,9,9,9,7,0
50,7,7,7,5,0
55,5,5,5,3,0
60,3,3,3,1,0
