delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,87,79,79,75,65
10,78,70,70,66,56
15,69,61,61,57,47
20,61,53,53,49,39
25,53,45,45,41,31
30,45,37,37,33,23
35,37,29,29,25,15
40,29,21,21,17,9
45,21,15,15,11,3
50,13,9,9,5,0
55,7,3,3,0,0
60,3,0,0,0,0
