delta,1_Neighbor(s),2_Neighbor(s),3_Neighbor(s),4_Neighbor(s),5_Neighbor(s)
5,4,3,3,3,3
10,5,4,4,4,4
15,6,5,5,5,5
20,7,6,6,6,6
25,8,7,7,7,7
30,9,8,8,8,8
35,11,9,9,9,9
40,13,10,10,10,10
45,16,11,11,11,11
50,19,12,12,12,12
55,22,13,13,13,13
60,24,14,14,14,14
